item,itemLabel,position,positionLabel,start,psid
Q104599786,Maria Cristina Messa,Q54879307,"minister of universities, science and technology",2021-02-13,Q104599786-bb972685-4eec-5dad-8dbb-55117428c5b4
Q105296748,Daniele Franco,Q28002382,Italian Minister of Economy and Finance,2021-02-13,Q105296748-f50966c7-4a38-e963-a992-c315b282dd40
Q105320865,Patrizio Bianchi,Q34153264,Italian Minister of Education,2021-02-13,Q105320865-2c912ad5-478a-b644-6151-f80a51af596a
Q12162046,Dante Rivas,Q3858501,Italian minister,2018-06-14,Q12162046-fe2f3fa7-4d43-2673-aa76-5f722f3bb2e1
Q13581225,Luigi Di Maio,Q27991492,Italian Minister of Foreign Affairs,2021-02-13,Q13581225-7fe2504b-4606-1ac8-3361-975c40162207
Q1412573,Marta Cartabia,Q25973167,Italian Minister of Justice,2021-02-13,Q1412573-3f003fbf-4de2-e1f2-fca1-34f6eb2fb0e7
Q15936378,Federico D'Incà,Q27999166,Italian Minister for Parliamentary Relations,2021-02-13,Q15936378-806ae948-4456-705b-1e35-e2d678737cb8
Q15936524,Fabiana Dadone,Q55075086,Italian Minister of Youth,2021-02-13,Q15936524-7ab3b15d-44cf-ca14-d6df-f86b912ce23e
Q16039372,Erika Stefani,Q105541338,Italian Minister for Disabilities,2021-02-13,Q16039372-3EC91164-C9CD-44A0-900B-C7DB8975D715
Q2573947,Renato Brunetta,Q55044982,Italian Minister of Public Administration,2021-02-13,Q2573947-0ecbd067-4e60-918d-8e4d-8a208a8f35b2
Q266651,Mara Carfagna,Q55045153,Italian Minister for the South and Territorial Cohesion,2021-02-13,Q266651-2e871582-46fd-b587-1710-3437ce9d775e
Q294460,Mario Draghi,Q796897,Prime Minister of Italy,2021-02-13,Q294460-f6610653-4303-7fc5-87c8-8ce42018b066
Q3615909,Andrea Orlando,Q28000241,Italian Minister of Labour and Social Affairs,2021-02-13,Q3615909-d535fbf5-4452-97e4-5777-864736a01a91
Q3725799,Enrico Giovannini,Q6092842,Italian Minister of Infrastructures,2021-02-13,Q3725799-6e7c4db2-41c9-5f52-69ea-3e64d8e86e5e
Q3836978,Lorenzo Guerini,Q1538785,Italian Minister of Defence,2021-02-13,Q3836978-548f7dc3-4801-bccb-f192-341952298927
Q3851266,Massimo Garavaglia,Q55096606,Italian minister of Tourism,2021-02-13,Q3851266-c3b23287-4a06-c4bc-50ef-1a4ab38117b1
Q388442,Dario Franceschini,Q28002426,Italian Minister of Cultural Heritage and Activities and Tourism,2021-02-13,Q388442-af7ebb93-4636-9094-0a7c-a5dbcc923af6
Q3938696,Roberto Cingolani,Q108128155,Minister of the Ecological Transition,2021-02-13,Q3938696-D594074B-1F65-4F96-8233-F9EB155557DD
Q466712,Mariastella Gelmini,Q33125109,Italian Minister of Regional Affairs and Autonomies,2021-02-13,Q466712-a82583ee-4343-ea76-04f5-3ec4d10c820e
Q55281792,Stefano Patuanelli,Q658082,Italian Minister of Agriculture,2021-02-13,Q55281792-aaa4c7b8-4585-83fb-4e0d-14b57ed35247
Q659163,Giancarlo Giorgetti,Q27991508,Italian Minister of Economic Development,2021-02-13,Q659163-210122ee-4552-00bd-5cae-de2954c2ea79
Q67126683,Elena Bonetti,Q55074659,Italian Minister for Equal Opportunities,2021-02-13,Q67126683-f7d65a37-484a-b148-41aa-b88fc6e11d5f
Q67129448,Luciana Lamorgese,Q1541071,Italian Minister of the Interior,2021-02-13,Q67129448-5b42bddd-4974-b8a8-2d55-f58765beda4a
Q8220404,Roberto Speranza,Q27795992,Italian Minister of Health,2021-02-13,Q8220404-c97577ea-4bcf-cbde-d2cc-68008a18ff3a
Q981692,Vittorio Colao,Q55076432,Italian Minister for Technological Innovation,2021-02-13,Q981692-7ea2e7d2-4fc0-7666-512c-25502d13f8f8
