ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,isa,isaLabel,parent,parentLabel,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
43,Q3111987,Craxi II Cabinet,1986-08-01,11,,,1987-04-17,11,,,Q3773971,Government of Italy,,,Q962463,Craxi I Cabinet,Q3112042,Fanfani VI Cabinet,,,,
44,Q3112042,Fanfani VI Cabinet,1987-04-17,11,,,1987-07-28,11,,,Q3773971,Government of Italy,,,Q3111987,Craxi II Cabinet,Q787556,Goria Cabinet,,,,
45,Q787556,Goria Cabinet,1987-07-28,11,,,1988-04-13,11,,,Q3773971,Government of Italy,,,Q3112042,Fanfani VI Cabinet,Q3111997,De Mita Cabinet,,,,
46,Q3111997,De Mita Cabinet,1988-04-13,11,,,1989-07-22,11,,,Q3773971,Government of Italy,,,Q787556,Goria Cabinet,Q3111865,Andreotti VI Cabinet,,,,
47,Q3111865,Andreotti VI Cabinet,1989-07-22,11,,,1991-04-12,11,,,Q3773971,Government of Italy,,,Q3111997,De Mita Cabinet,Q3111867,Andreotti VII Cabinet,,,,
48,Q3111867,Andreotti VII Cabinet,1991-04-12,11,,,1992-06-28,11,,,Q3773971,Government of Italy,,,Q3111865,Andreotti VI Cabinet,Q1058637,Amato I Cabinet,,,,
49,Q1058637,Amato I Cabinet,1992-06-28,11,,,1993-04-28,11,,,Q3773971,Government of Italy,,,Q3111867,Andreotti VII Cabinet,Q2237427,Ciampi Cabinet,,,,
50,Q2237427,Ciampi Cabinet,1993-04-28,11,,,1994-05-10,11,,,Q3773971,Government of Italy,,,Q1058637,Amato I Cabinet,Q2047979,Berlusconi I Cabinet,,,,
51,Q2047979,Berlusconi I Cabinet,1994-05-10,11,,,1995-01-17,11,,,Q3773971,Government of Italy,,,Q2237427,Ciampi Cabinet,Q2294580,Dini Cabinet,,,,
52,Q2294580,Dini Cabinet,1995-01-17,11,,,1996-05-17,11,,,Q3773971,Government of Italy,,,Q2047979,Berlusconi I Cabinet,Q1024923,Prodi I Cabinet,,,,
52,Q2294580,Dini Cabinet,1995-01-17,11,,,1996-05-17,11,,,Q3773998,technocratic government,,,Q2047979,Berlusconi I Cabinet,Q1024923,Prodi I Cabinet,,,,
53,Q1024923,Prodi I Cabinet,1996-05-17,11,,,1998-10-21,11,,,Q3773971,Government of Italy,,,Q2294580,Dini Cabinet,Q1869728,D'Alema I Cabinet,,,,
54,Q1869728,D'Alema I Cabinet,1998-10-21,11,,,1999-12-22,11,,,Q3773971,Government of Italy,,,Q1024923,Prodi I Cabinet,Q4218056,D'Alema II Cabinet,,,,
55,Q4218056,D'Alema II Cabinet,1999-12-22,11,1999-01-01,9,2000-04-25,11,2000-01-01,9,Q3773971,Government of Italy,,,Q1869728,D'Alema I Cabinet,Q2086741,Amato II Cabinet,,,,
56,Q2086741,Amato II Cabinet,2000-04-25,11,,,2001-06-11,11,,,Q3773971,Government of Italy,,,Q4218056,D'Alema II Cabinet,Q2123870,Berlusconi II Cabinet,,,,
57,Q2123870,Berlusconi II Cabinet,2001-06-11,11,,,2005-04-23,11,,,Q3773971,Government of Italy,,,Q2086741,Amato II Cabinet,Q2325153,Berlusconi III Cabinet,,,,
58,Q2325153,Berlusconi III Cabinet,2005-04-23,11,,,2006-05-17,11,,,Q3773971,Government of Italy,,,Q2123870,Berlusconi II Cabinet,Q1720224,Prodi II Cabinet,,,,
59,Q1720224,Prodi II Cabinet,2006-05-17,11,2006-05-17,11,2008-05-07,11,2008-05-08,11,Q3773971,Government of Italy,,,Q2325153,Berlusconi III Cabinet,Q715959,Berlusconi IV Cabinet,,,,
60,Q715959,Berlusconi IV Cabinet,2008-05-07,11,,,2011-11-16,11,,,Q3773971,Government of Italy,,,Q1720224,Prodi II Cabinet,Q715614,Monti Cabinet,,,,
61,Q715614,Monti Cabinet,2011-11-16,11,,,2013-04-28,11,,,Q3773971,Government of Italy,,,Q715959,Berlusconi IV Cabinet,Q12080459,Letta Cabinet,,,,
61,Q715614,Monti Cabinet,2011-11-16,11,,,2013-04-28,11,,,Q3773998,technocratic government,,,Q715959,Berlusconi IV Cabinet,Q12080459,Letta Cabinet,,,,
62,Q12080459,Letta Cabinet,2013-04-28,11,,,2014-02-22,11,,,Q3773971,Government of Italy,,,Q715614,Monti Cabinet,Q15772498,Renzi Cabinet,,,,
63,Q15772498,Renzi Cabinet,2014-02-21,11,,,2016-12-12,11,,,Q3773971,Government of Italy,,,Q12080459,Letta Cabinet,Q27998924,Gentiloni Cabinet,,,,
63,Q15772498,Renzi Cabinet,2014-02-22,11,,,2016-12-12,11,,,Q3773971,Government of Italy,,,Q12080459,Letta Cabinet,Q27998924,Gentiloni Cabinet,,,,
64,Q27998924,Gentiloni Cabinet,2016-12-12,11,,,2018-06-01,11,,,Q3773971,Government of Italy,,,Q15772498,Renzi Cabinet,Q54557459,Conte I Cabinet,,,,
65,Q54557459,Conte I Cabinet,2018-06-01,11,,,2019-09-05,11,,,Q3773971,Government of Italy,,,Q27998924,Gentiloni Cabinet,Q67123745,Conte II Cabinet,,,,
66,Q67123745,Conte II Cabinet,2019-09-05,11,,,2021-02-13,11,,,Q3773971,Government of Italy,,,Q54557459,Conte I Cabinet,Q105460407,Draghi Cabinet,,,,
67,Q105460407,Draghi Cabinet,2021-02-13,11,,,,,,,Q3773971,Government of Italy,,,Q67123745,Conte II Cabinet,,,,,,
