id,name,relationship,relative,relativename
Q1041908,Carlo Bo,relative,Q108936371,Vincenzo Bo
Q1041908,Carlo Bo,spouse,Q3849340,Marise Ferro
Q1055202,Lapo Pistelli,father,Q3876321,Nicola Pistelli
Q1055449,Matteo Salvini,spouse,Q29580180,Fabrizia Ieluzzi
Q1055575,Raffaele Costa,child,Q3725703,Enrico Costa
Q10579018,Monica Cirinnà,spouse,Q3733432,Esterino Montino
Q1060314,Raffaele Fitto,father,Q3946056,Salvatore Fitto
Q1071031,Paolo Gentiloni,relative,Q4013441,Ottorino Gentiloni
Q1071082,Barbara Pollastrini,spouse,Q3932705,Renato Mannheimer
Q1071082,Barbara Pollastrini,spouse,Q58036409,Pietro Modiano
Q1098169,Claudio Scajola,father,Q105711966,Ferdinando Scajola
Q1098169,Claudio Scajola,mother,Q105715694,Maria Vittoria Truini
Q1098169,Claudio Scajola,relative,Q105715849,Ferdinando Truini
Q1098169,Claudio Scajola,sibling,Q105715654,Maria Teresa Scajola
Q1098169,Claudio Scajola,sibling,Q105715655,Maurizio Scajola
Q1098169,Claudio Scajola,sibling,Q18812258,Alessandro Scajola
Q11860,Silvio Berlusconi,child,Q18235147,Luigi Berlusconi
Q11860,Silvio Berlusconi,child,Q25210469,Eleonora Berlusconi
Q11860,Silvio Berlusconi,child,Q3634593,Barbara Berlusconi
Q11860,Silvio Berlusconi,child,Q468797,Marina Berlusconi
Q11860,Silvio Berlusconi,child,Q940243,Pier Silvio Berlusconi
Q11860,Silvio Berlusconi,father,Q15291073,Luigi Berlusconi
Q11860,Silvio Berlusconi,mother,Q15291074,Rosa Bossi
Q11860,Silvio Berlusconi,partner,Q55281541,Marta Fascina
Q11860,Silvio Berlusconi,sibling,Q15291085,Maria Antonietta Berlusconi
Q11860,Silvio Berlusconi,sibling,Q2050307,Paolo Berlusconi
Q11860,Silvio Berlusconi,spouse,Q15291055,Carla Dall'Oglio
Q11860,Silvio Berlusconi,spouse,Q268099,Veronica Lario
Q1220,Giorgio Napolitano,spouse,Q18785847,Clio Bittoni
Q122345,Ombretta Colli,child,Q3701047,Dalia Gaberščik
Q122345,Ombretta Colli,spouse,Q1010602,Giorgio Gaber
Q1224,Carlo Azeglio Ciampi,spouse,Q3080523,Franca Pilla
Q1228,Oscar Luigi Scalfaro,child,Q97461162,Marianna Scalfaro
Q1228,Oscar Luigi Scalfaro,spouse,Q108701087,Maria Inzitari
Q1230,Francesco Cossiga,child,Q767345,Giuseppe Cossiga
Q1230,Francesco Cossiga,spouse,Q94666406,Giuseppa Sigurani
Q1235,Giovanni Leone,child,Q75497034,Gian Carlo Leone
Q1235,Giovanni Leone,child,Q76254944,Mauro Leone
Q1235,Giovanni Leone,child,Q76254946,Giulio Leone
Q1235,Giovanni Leone,child,Q76254948,Paolo Leone
Q1235,Giovanni Leone,father,Q102066963,Mauro Leone
Q1235,Giovanni Leone,mother,Q102067047,Maria Gioffredi
Q1235,Giovanni Leone,sibling,Q101086002,Carlo Leone
Q1235,Giovanni Leone,spouse,Q69881499,Vittoria Michitto
Q1246500,Gianrico Carofiglio,sibling,Q5479275,Francesco Carofiglio
Q12467437,Carlo Calenda,father,Q65127229,Fabio Calenda
Q12467437,Carlo Calenda,mother,Q449801,Cristina Comencini
Q12467437,Carlo Calenda,relative,Q3893543,Paola Comencini
Q12467437,Carlo Calenda,relative,Q457170,Francesca Comencini
Q12467437,Carlo Calenda,relative,Q53015,Luigi Comencini
Q1332769,Nicola Zingaretti,sibling,Q1374312,Luca Zingaretti
Q1379919,Francesco De Martino,child,Q23047393,Guido De Martino
