name,position
Mario Draghi,Presidente del Consiglio dei Ministri
Federico D’Incà,Ministro per i Rapporti con il Parlamento
Vittorio Colao,Ministro per l’innovazione tecnologica e la transizione digitale
Renato Brunetta,Ministro per la Pubblica Amministrazione
Mariastella Gelmini,Ministro per gli Affari regionali e le Autonomie
Maria Rosaria Carfagna,Ministro per il Sud e la Coesione territoriale
Fabiana Dadone,Ministro per le Politiche giovanili
Elena Bonetti,Ministro per le Pari Opportunità e la Famiglia
Erika Stefani,Ministro per le disabilità
Luigi Di Maio,Ministro degli Affari Esteri e della Cooperazione Internazionale
Luciana Lamorgese,Ministro dell'Interno
Marta Cartabia,Ministro della Giustizia
Lorenzo Guerini,Ministro della Difesa
Daniele Franco,Ministro dell'Economia e delle Finanze
Giancarlo Giorgetti,Ministro dello Sviluppo Economico
Stefano Patuanelli,Ministro delle Politiche Agricole Alimentari e Forestali
Roberto Cingolani,Ministro della Transizione Ecologica
Enrico Giovannini,Ministro delle Infrastrutture e della Mobilità Sostenibili
Andrea Orlando,Ministro del Lavoro e delle Politiche Sociali
Patrizio Bianchi,Ministro dell'Istruzione
Maria Cristina Messa,Ministro dell'Università e della Ricerca
Dario Franceschini,Ministro della Cultura
Roberto Speranza,Ministro della Salute
Massimo Garavaglia,Ministro del Turismo
