item,itemLabel,startDate,endDate,sourceDate,psid
Q3702667,Dario Squeri,1995-05-08,2004-06-28,,Q3702667-838b3e1e-41e7-0659-e8f0-fdac3ee72295
Q3762686,Gian Luigi Boiardi,2004-06-28,2009-06-08,,Q3762686-0e31b7d5-40f9-8ad0-cee6-9ee732a89535
Q3851494,Massimo Trespidi,2009-06-08,2014-10-14,,Q3851494-2277ad29-4036-da73-aecf-2903f9b8fb03
Q41476470,Francesco Rolleri,2014-10-14,2018-10-31,,Q41476470-284719fd-45f9-f6f9-27dc-70718a2264ef
Q34331304,Patrizia Barbieri,2018-10-31,2022-06-29,,Q34331304-6FD31302-B99B-4105-9B4A-B93153584551
Q112978611,Franco Albertini,2022-06-29,,,Q112978611-fd2f793a-410a-a1bb-5903-2a074b73602e
